counter,phi,theta,psi,accel_x,accel_y,accel_z,gps_x,gps_y,gps_z,height,ultrasound,opticflow_vx,opticflow_vy
515,-330,410,-2158,221,44,-498,392433142,30036078,500219863,0.957031,35678,-6.826977,73.096367
516,-330,410,-2158,221,44,-498,392433142,30036078,500219863,0.957031,35678,-6.826977,73.096367
517,-333,434,-2176,-295,344,-363,392433138,30036075,500219866,0.957031,2897,61.174316,-71.864403
518,-333,434,-2176,-295,344,-363,392433138,30036075,500219866,0.957031,2897,61.174316,-71.864403
519,-333,434,-2176,-295,344,-363,392433138,30036075,500219866,0.957031,2897,61.174316,-71.864403
520,-364,400,-2172,-577,378,-722,392433135,30036073,500219868,0.953125,35684,47.24778,-50.280296
521,-364,400,-2172,-577,378,-722,392433135,30036073,500219868,0.953125,35684,47.24778,-50.280296
522,-364,400,-2172,-577,378,-722,392433135,30036073,500219868,0.953125,35684,47.24778,-50.280296
523,-313,378,-2157,-64,157,411,392433133,30036071,500219871,0.957031,2925,33.466431,113.950012
524,-313,378,-2157,-64,157,411,392433133,30036071,500219871,0.957031,2925,33.466431,113.950012
525,-313,378,-2157,-64,157,411,392433133,30036071,500219871,0.957031,2925,33.466431,113.950012
526,-298,355,-2136,-324,73,371,392433130,30036069,500219874,0.964844,35715,3.738583,107.664108
527,-298,355,-2136,-324,73,371,392433130,30036069,500219874,0.964844,35715,3.738583,107.664108
528,-298,355,-2136,-324,73,371,392433130,30036069,500219874,0.964844,35715,3.738583,107.664108
529,-268,310,-2110,-343,212,-169,392433128,30036067,500219876,0.964844,2942,11.319851,106.573746
530,-268,310,-2110,-343,212,-169,392433128,30036067,500219876,0.964844,2942,11.319851,106.573746
531,-268,310,-2110,-343,212,-169,392433128,30036067,500219876,0.964844,2942,11.319851,106.573746
532,-250,301,-2094,-235,203,-174,392433125,30036065,500219878,0.964844,35707,2.829963,89.856285
533,-250,301,-2094,-235,203,-174,392433125,30036065,500219878,0.964844,35707,2.829963,89.856285
534,-250,301,-2094,-235,203,-174,392433125,30036065,500219878,0.964844,35707,2.829963,89.856285
535,-238,320,-2085,-253,253,-94,392433123,30036063,500219879,0.964844,2946,2.823114,83.384964
536,-238,320,-2085,-253,253,-94,392433123,30036063,500219879,0.964844,2946,2.823114,83.384964
537,-238,320,-2085,-253,253,-94,392433123,30036063,500219879,0.964844,2946,2.823114,83.384964
538,-216,329,-2065,-347,282,-4,392433122,30036061,500219881,0.96875,35749,22.771204,63.054565
539,-216,329,-2065,-347,282,-4,392433122,30036061,500219881,0.96875,35749,22.771204,63.054565
540,-216,329,-2065,-347,282,-4,392433122,30036061,500219881,0.96875,35749,22.771204,63.054565
541,-223,338,-2055,-383,276,-81,392433120,30036060,500219883,0.972656,2969,-2.862837,69.760559
542,-223,338,-2055,-383,276,-81,392433120,30036060,500219883,0.972656,2969,-2.862837,69.760559
543,-223,338,-2055,-383,276,-81,392433120,30036060,500219883,0.972656,2969,-2.862837,69.760559
544,-234,355,-2044,-296,22,-13,392433118,30036059,500219884,0.972656,35745,-5.736633,46.596046
545,-234,355,-2044,-296,22,-13,392433118,30036059,500219884,0.972656,35745,-5.736633,46.596046
546,-234,355,-2044,-296,22,-13,392433118,30036059,500219884,0.972656,35745,-5.736633,46.596046
547,-247,356,-2047,-141,-9,-32,392433117,30036058,500219886,0.972656,2988,-17.275652,42.521881
548,-247,356,-2047,-141,-9,-32,392433117,30036058,500219886,0.972656,2988,-17.275652,42.521881
549,-247,356,-2047,-141,-9,-32,392433117,30036058,500219886,0.972656,2988,-17.275652,42.521881
550,-275,369,-2066,-42,-127,187,392433116,30036056,500219887,0.976562,35768,-2.895712,49.179321
551,-275,369,-2066,-42,-127,187,392433116,30036056,500219887,0.976562,35768,-2.895712,49.179321
552,-275,369,-2066,-42,-127,187,392433116,30036056,500219887,0.976562,35768,-2.895712,49.179321
553,-283,370,-2076,-3,-10,-55,392433114,30036055,500219888,0.976562,2997,-5.799643,57.814182
554,-283,370,-2076,-3,-10,-55,392433114,30036055,500219888,0.976562,2997,-5.799643,57.814182
555,-283,370,-2076,-3,-10,-55,392433114,30036055,500219888,0.976562,2997,-5.799643,57.814182
556,-294,376,-2091,256,-4,-11,392433113,30036053,500219889,0.972656,35768,-7.721899,51.317554
557,-294,376,-2091,256,-4,-11,392433113,30036053,500219889,0.972656,35768,-7.721899,51.317554
558,-294,376,-2091,256,-4,-11,392433113,30036053,500219889,0.972656,35768,-7.721899,51.317554
559,-288,382,-2090,486,81,197,392433111,30036052,500219890,0.96875,3006,-5.813341,54.373524
560,-288,382,-2090,486,81,197,392433111,30036052,500219890,0.96875,3006,-5.813341,54.373524
561,-288,382,-2090,486,81,197,392433111,30036052,500219890,0.96875,3006,-5.813341,54.373524
562,-257,393,-2053,416,27,131,392433109,30036050,500219892,0.96875,35754,-7.773038,67.441605
563,-257,393,-2053,416,27,131,392433109,30036050,500219892,0.96875,35754,-7.773038,67.441605
564,-257,393,-2053,416,27,131,392433109,30036050,500219892,0.96875,35754,-7.773038,67.441605
